title,author,rating,rank,number_of_reviews,price,cover_type,year,genre
The Lost Symbol,Dan Brown,4.3,1,"28,387",17.0,Hardcover,2009,Fiction
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,2,"40,923",10.43,Paperback,2009,Fiction
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3,"5,306",16.32,Hardcover,2009,Fiction
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.7,4,"24,901",9.38,Hardcover,2009,Fiction
Going Rogue: An American Life,Sarah Palin,4.6,5,"1,599",10.0,Hardcover,2009,Non Fiction
StrengthsFinder 2.0,,4.1,6,Gallup,20.96,Hardcover,2009,Fiction
The Help,Kathryn Stockett,4.7,7,"32,363",15.94,Hardcover,2009,Fiction
New Moon (The Twilight Saga),Stephenie Meyer,4.6,8,"20,399",19.99,Paperback,2009,Non Fiction
The Twilight Saga Collection,Stephenie Meyer,4.7,9,"6,840",69.99,Hardcover,2009,Non Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,10,"35,368",15.69,Hardcover,2009,Non Fiction
Eclipse (Twilight),Stephenie Meyer,4.7,11,"19,919",16.79,Hardcover,2009,Non Fiction
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,12,"34,220",15.91,Paperback,2009,Non Fiction
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.5,13,"1,428",9.9,Paperback,2009,Non Fiction
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,14,"4,205",15.0,Paperback,2009,Non Fiction
The Love Dare,Stephen Kendrick,4.8,15,"3,456",12.99,Paperback,2009,Non Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.5,16,"8,402",20.97,Hardcover,2009,Non Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.6,17,"14,549",13.94,Hardcover,2009,Non Fiction
Under the Dome: A Novel,Stephen King,4.4,18,"12,832",26.11,Hardcover,2009,Non Fiction
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.6,19,"36,619",12.9,Paperback,2009,Non Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,20,949,17.9,Paperback,2009,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,21,910,9.64,Hardcover,2009,Fiction
"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,4.8,22,"8,046",31.49,Hardcover,2009,Fiction
Sookie Stackhouse,Charlaine Harris,4.7,23,"1,000",59.99,Mass Market Paperback,2009,Fiction
The Time Traveler's Wife,Audrey Niffenegger,4.4,24,"10,530",12.95,Paperback,2009,Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,25,"12,910",19.78,Paperback,2009,Fiction
True Compass: A Memoir,Edward M. Kennedy,4.5,26,577,12.48,Hardcover,2009,Fiction
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,4.5,27,"30,923",10.99,Paperback,2009,Non Fiction
The 5000 Year Leap,W. Cleon Skousen,4.8,28,"2,619",11.69,Paperback,2009,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,29,"8,256",14.55,Hardcover,2009,Non Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,30,"19,919",,Paperback,2009,Non Fiction
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.6,1,"24,773",12.9,Hardcover,2009,Non Fiction
The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),Stieg Larsson,4.5,2,"30,923",10.99,Paperback,2009,Fiction
Decision Points,George W. Bush,4.6,3,"2,755",15.65,Hardcover,2009,Fiction
The Help,Kathryn Stockett,4.7,4,"32,363",15.94,Hardcover,2009,Non Fiction
The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),Stieg Larsson,4.6,5,"24,975",10.55,Paperback,2009,Non Fiction
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.7,6,"18,866",8.66,Hardcover,2009,Non Fiction
StrengthsFinder 2.0,,4.1,7,Gallup,20.96,Hardcover,2009,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.6,8,"75,799",11.26,Hardcover,2009,Non Fiction
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.4,9,"2,618",12.68,Hardcover,2009,Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,10,"12,910",19.78,Paperback,2009,Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.4,11,624,21.0,Hardcover,2009,Fiction
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.6,12,"15,822",15.66,Hardcover,2009,Fiction
Food Rules: An Eater's Manual,Michael Pollan,4.4,13,"4,435",12.49,Paperback,2009,Non Fiction
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.7,14,"75,136",15.68,Hardcover,2009,Non Fiction
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.6,15,"5,037",9.98,Hardcover,2009,Non Fiction
Sh*t My Dad Says,Justin Halpern,4.7,16,"1,806",14.99,Hardcover,2009,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,17,"2,247",14.87,Paperback,2009,Fiction
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.7,18,"6,883",13.08,Hardcover,2009,Fiction
Life,Keith Richards,4.5,19,"7,170",,Hardcover,2009,Non Fiction
Cutting for Stone,Abraham Verghese,4.6,20,"12,860",11.29,Paperback,2009,Non Fiction
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.5,21,589,15.18,Hardcover,2009,Non Fiction
The Official SAT Study Guide,,4.4,22,The College Board,,Paperback,2009,Non Fiction
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.5,23,"1,920",11.25,Hardcover,2009,Non Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.6,24,"27,319",16.5,Hardcover,2009,Non Fiction
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.7,25,"23,622",14.04,Hardcover,2009,Non Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.5,26,876,14.03,Paperback,2009,Non Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,27,"35,368",15.69,Hardcover,2009,Non Fiction
"Catching Fire (Hunger Games, Book Two): Volume 2",Suzanne Collins,4.7,28,"61,120",14.62,Hardcover,2009,Non Fiction
"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",,4.6,29,Patrick Lencioni,22.23,Hardcover,2009,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,30,"8,256",14.55,Hardcover,2009,Non Fiction
Steve Jobs,Walter Isaacson,4.7,1,"22,978",17.33,Hardcover,2010,
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.6,2,"24,835",10.49,Paperback,2010,Non Fiction
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.7,3,"20,481",,Hardcover,2010,Non Fiction
StrengthsFinder 2.0,,4.1,4,Gallup,20.96,Hardcover,2010,Non Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,5,"76,522",,Paperback,2010,Non Fiction
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.7,6,"75,136",15.68,Hardcover,2010,Non Fiction
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.7,7,"16,742",15.0,Hardcover,2010,Non Fiction
Go the F**k to Sleep,Adam Mansbach,4.8,8,"21,988",14.35,Hardcover,2010,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.6,9,"75,799",11.26,Hardcover,2010,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.7,10,"8,359",42.84,Mass Market Paperback,2010,Fiction
"Catching Fire (Hunger Games, Book Two): Volume 2",Suzanne Collins,4.7,11,"61,120",14.62,Hardcover,2010,Fiction
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,,4.3,12,Mike Moreno,15.0,Hardcover,2010,
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.6,13,"47,170",16.0,Hardcover,2010,Non Fiction
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,14,"25,114",11.39,Hardcover,2010,Fiction
